item_number ,id               ,title                                                                                                                                                                    ,authors                                                                                                                                                                                                                                                                                                              ,abstract_link                    ,pdf_link                         ,html_link                           ,other_formats_link                  ,comments                                                                                                                                                                                                                                                                                                     ,subjects                                                                                                                                                                                ,date
          1 ,arXiv:2409.10372 ,Instigating Cooperation among LLM Agents Using Adaptive Information Modulation                                                                                           ,"Qiliang Chen, Alireza (Sepehr)Ilami, Nunzio Lore, Babak Heydari"                                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.10372 ,https://arxiv.org/pdf/2409.10372 ,https://arxiv.org/html/2409.10372v1 ,https://arxiv.org/format/2409.10372 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Computers and Society (cs.CY); Computer Science and Game Theory (cs.GT)                                              ,"Tue, 17 Sep 2024"
          2 ,arXiv:2409.10289 ,ReflectDiffu: Reflect between Emotion-intent Contagion and Mimicry for Empathetic Response Generation via a RL-Diffusion Framework                                       ,"Jiahao Yuan, Zixiang Di, Zhiqing Cui, Guisong Yang, Usman Naseem"                                                                                                                                                                                                                                                   ,https://arxiv.org/abs/2409.10289 ,https://arxiv.org/pdf/2409.10289 ,https://arxiv.org/html/2409.10289v1 ,https://arxiv.org/format/2409.10289 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG)                                                                                             ,"Tue, 17 Sep 2024"
          3 ,arXiv:2409.10277 ,Cognitive Kernel: An Open-source Agent System towards Generalist Autopilots                                                                                              ,"Hongming Zhang, Xiaoman Pan, Hongwei Wang, Kaixin Ma, Wenhao Yu, Dong Yu"                                                                                                                                                                                                                                           ,https://arxiv.org/abs/2409.10277 ,https://arxiv.org/pdf/2409.10277 ,https://arxiv.org/html/2409.10277v1 ,https://arxiv.org/format/2409.10277 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI)                                                                                                                                                         ,"Tue, 17 Sep 2024"
          4 ,arXiv:2409.09717 ,Automatic Control With Human-Like Reasoning: Exploring Language Model Embodied Air Traffic Agents                                                                        ,"Justas Andriuškevičius, Junzi Sun"                                                                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.09717 ,https://arxiv.org/pdf/2409.09717 ,https://arxiv.org/html/2409.09717v1 ,https://arxiv.org/format/2409.09717 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI); Computation and Language (cs.CL)                                                                                                                       ,"Tue, 17 Sep 2024"
          5 ,arXiv:2409.09603 ,Towards Data-Centric RLHF: Simple Metrics for Preference Dataset Comparison                                                                                              ,"Judy Hanwen Shen, Archit Sharma, Jun Qin"                                                                                                                                                                                                                                                                           ,https://arxiv.org/abs/2409.09603 ,https://arxiv.org/pdf/2409.09603 ,https://arxiv.org/html/2409.09603v1 ,https://arxiv.org/format/2409.09603 ,Working Paper                                                                                                                                                                                                                                                                                                ,Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Machine Learning (cs.LG)                                                                                             ,"Tue, 17 Sep 2024"
          6 ,arXiv:2409.09541 ,Autonomous Goal Detection and Cessation in Reinforcement Learning: A Case Study on Source Term Estimation                                                                ,"Yiwei Shi, Muning Wen, Qi Zhang, Weinan Zhang, Cunjia Liu, Weiru Liu"                                                                                                                                                                                                                                               ,https://arxiv.org/abs/2409.09541 ,https://arxiv.org/pdf/2409.09541 ,https://arxiv.org/html/2409.09541v1 ,https://arxiv.org/format/2409.09541 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                                                                               ,"Tue, 17 Sep 2024"
          7 ,arXiv:2409.09485 ,Enumerating Minimal Unsatisfiable Cores of LTLf formulas                                                                                                                 ,"Antonio Ielo, Giuseppe Mazzotta, Rafael Peñaloza, Francesco Ricca"                                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.09485 ,https://arxiv.org/pdf/2409.09485 ,https://arxiv.org/html/2409.09485v1 ,https://arxiv.org/format/2409.09485 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI); Logic in Computer Science (cs.LO)                                                                                                                      ,"Tue, 17 Sep 2024"
          8 ,arXiv:2409.09345 ,Enhancing Decision-Making for LLM Agents via Step-Level Q-Value Models                                                                                                   ,"Yuanzhao Zhai, Tingkai Yang, Kele Xu, Feng Dawei, Cheng Yang, Bo Ding, Huaimin Wang"                                                                                                                                                                                                                                ,https://arxiv.org/abs/2409.09345 ,https://arxiv.org/pdf/2409.09345 ,                                    ,https://arxiv.org/format/2409.09345 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI)                                                                                                                                                         ,"Tue, 17 Sep 2024"
          9 ,arXiv:2409.09135 ,Multimodal Fusion with LLMs for Engagement Prediction in Natural Conversation                                                                                            ,"Cheng Charles Ma, Kevin Hyekang Joo, Alexandria K. Vail, Sunreeta Bhattacharya, Álvaro Fernández García, Kailana Baker-Matsuoka, Sheryl Mathew, Lori L. Holt, Fernando De la Torre"                                                                                                                                 ,https://arxiv.org/abs/2409.09135 ,https://arxiv.org/pdf/2409.09135 ,https://arxiv.org/html/2409.09135v1 ,https://arxiv.org/format/2409.09135 ,"22 pages, first three authors equal contribution"                                                                                                                                                                                                                                                           ,Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)                                                         ,"Tue, 17 Sep 2024"
         10 ,arXiv:2409.09107 ,Proactive and Reactive Constraint Programming for Stochastic Project Scheduling with Maximal Time-Lags                                                                   ,"Kim van den Houten, Léon Planken, Esteban Freydell, David M.J. Tax, Mathijs de Weerdt"                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09107 ,https://arxiv.org/pdf/2409.09107 ,https://arxiv.org/html/2409.09107v1 ,https://arxiv.org/format/2409.09107 ,                                                                                                                                                                                                                                                                                                             ,Artificial Intelligence (cs.AI)                                                                                                                                                         ,"Tue, 17 Sep 2024"
